Id,X,Y
69,711500,7205500
1788582,711500,7205500
2151030,711500,7205500
2567860,711500,7205500
2603367,711500,7205500
11482,711500,7205600
47542,711400,7205500
185305,711600,7205500
373311,711500,7205600
560768,711500,7205600
589196,711400,7205500
721887,711400,7205500
1077678,711500,7205600
1162592,711600,7205500
1168042,711400,7205500
1404721,711600,7205500
1710567,711600,7205500
1717105,711500,7205400
1736458,711400,7205500
1783286,711600,7205500
1840851,711500,7205600
1863103,711500,7205400
1988538,711400,7205500
2274679,711400,7205500
2667094,711500,7205600
2700303,711600,7205500
2721605,711600,7205500
3014350,711500,7205600
3112182,711500,7205600
3125868,711600,7205500
3490609,711500,7205600
3611760,711500,7205400
155811,711400,7205400
235290,711600,7205400
274446,711400,7205400
335815,711400,7205600
675749,711600,7205600
692740,711400,7205600
974999,711600,7205400
1047966,711400,7205400
1259068,711400,7205400
1264718,711400,7205400
1265838,711400,7205600
1917512,711400,7205400
1960488,711400,7205400
2142035,711400,7205400
2258318,711600,7205400
2397109,711600,7205600
2472155,711600,7205400
3216359,711600,7205600
3376113,711600,7205600
3508570,711400,7205600
3561761,711600,7205600
3695708,711600,7205400
3714739,711400,7205400
3789977,711400,7205600
3832976,711400,7205400
139651,711500,7205700
398108,711500,7205300
566161,711500,7205300
593891,711500,7205300
1009952,711500,7205700
1028256,711300,7205500
1060194,711500,7205300
2491319,711300,7205500
2773838,711500,7205300
2800141,711500,7205300
2846871,711500,7205300
3172060,711300,7205500
3175523,711300,7205500
3211394,711700,7205500
3220974,711500,7205300
3306306,711500,7205300
3480197,711700,7205500
3565344,711300,7205500
172945,711300,7205600
354334,711400,7205300
365663,711600,7205300
884542,711300,7205600
1021321,711400,7205300
1156719,711600,7205300
1278181,711400,7205300
1780382,711300,7205600
1868122,711600,7205300
1873450,711300,7205400
2034456,711300,7205600
2114183,711300,7205600
2179725,711400,7205300
2353352,711400,7205300
2373472,711300,7205600
2526062,711400,7205300
2702403,711400,7205300
2739938,711400,7205300
3310544,711600,7205300
3365280,711300,7205400
3387505,711300,7205400
3774223,711400,7205300
3782600,711400,7205300
171759,711300,7205700
2310094,711300,7205300
2864988,711300,7205300
3164000,711700,7205300
3442804,711700,7205300
3723945,711700,7205300
1234638,711500,7205200
2207546,711500,7205200
2736900,711500,7205200
3369835,711500,7205200
1023488,711600,7205200
1283861,711600,7205200
1987111,711600,7205200
2129321,711600,7205200
2405192,711600,7205200
253119,711700,7205800
467210,711200,7205700
543867,711700,7205800
756278,711700,7205800
812851,711700,7205800
847826,711700,7205800
850960,711200,7205700
973461,711700,7205800
1237058,711700,7205800
1889352,711700,7205800
3034428,711700,7205800
1459773,711500,7205100
2653579,711500,7205100
433400,711600,7205900
1023348,711600,7205900
1171314,711600,7205900
1721346,711600,7205900
2726753,711600,7205900
2888413,711600,7205900
3186511,711600,7205900
785301,711700,7205900
2084096,711700,7205100
180841,711500,7206000
910392,711500,7206000
936392,711500,7206000
1488717,711500,7206000
1502152,711500,7206000
1513451,711500,7206000
1569282,711500,7206000
1661358,711500,7206000
2177923,711500,7206000
366166,711600,7205000
1698456,711600,7205000
1759979,711600,7206000
1779544,711600,7206000
1848854,711600,7206000
2589121,711600,7206000
2696521,711600,7206000
3300950,711600,7206000
3332150,711400,7206000
66255,711700,7206000
208520,711700,7206000
247562,711700,7206000
578320,711700,7206000
1616195,711700,7206000
1815078,711700,7206000
1819181,711700,7206000
1917429,711700,7206000
2554988,711700,7206000
2617847,711700,7206000
2926857,711700,7206000
3216622,711700,7206000
3467636,711700,7206000
3494028,711700,7206000
3731102,711700,7206000
612058,711900,7205900
1184218,711000,7205800
2024137,711000,7205800
734467,711500,7206100
251216,711600,7206100
582304,711600,7206100
2739730,711700,7206100
3039685,711700,7206100
3214253,711700,7206100
3528292,711700,7206100
3585669,711700,7206100
189958,712000,7205900
673040,712000,7205900
2986214,712000,7205900
3245937,711900,7206000
3301990,712000,7205900
3679231,712000,7205900
217585,711800,7206100
1142291,711800,7206100
1336824,711800,7206100
2206589,711800,7206100
2261414,711800,7206100
2288730,711800,7206100
2512703,711800,7206100
3251965,711800,7206100
3499888,711800,7206100
850684,711500,7204800
1511918,712000,7206000
2058828,712000,7206000
2160061,712000,7206000
2379129,712000,7206000
139202,711900,7206100
511428,711900,7206100
976631,711900,7206100
1291838,710900,7205900
1346031,710900,7205900
1496164,711900,7206100
1640637,711900,7206100
2014462,711900,7206100
2108054,711900,7206100
3652965,711900,7206100
3667063,711900,7206100
851730,711300,7206200
1784613,711300,7206200
277878,711200,7206200
461004,711800,7206200
720561,711800,7206200
1040851,711200,7206200
1150725,711800,7206200
1224709,711800,7206200
1257354,711800,7206200
1286000,711800,7206200
1401082,711800,7206200
1480109,711800,7206200
2251389,711800,7206200
2582496,711800,7206200
2705103,711800,7206200
3196662,711800,7206200
3433594,711800,7206200
917319,712100,7206000
1158468,712000,7206100
1701944,712000,7206100
1865408,712100,7206000
2086901,712100,7206000
2486447,712100,7206000
2684395,712100,7206000
2838140,712100,7206000
3277056,712100,7206000
3620017,712100,7206000
3654030,712100,7206000
46351,712200,7205900
130288,712200,7205900
587310,712200,7205900
2493384,711900,7206200
3358209,712200,7205900
3457221,712200,7205900
209961,711300,7206300
1254045,711300,7206300
1775711,711300,7206300
2145882,711300,7206300
2256492,711700,7206300
2260826,711300,7206300
2422860,711300,7206300
3219292,711300,7206300
1320711,712100,7206100
2039668,712100,7206100
3098744,712100,7206100
3169629,712100,7206100
3482250,712100,7206100
3546978,712100,7206100
58537,711200,7206300
685593,711200,7206300
710368,711200,7206300
766539,711800,7206300
1585449,711800,7206300
1669253,711200,7206300
2284821,711200,7206300
2567122,711200,7206300
3035171,711200,7206300
3255461,711200,7206300
3563179,711200,7206300
3646948,711200,7206300
3689284,711200,7206300
191111,712200,7206000
271089,712200,7206000
985207,712000,7206200
1140544,712200,7206000
1546787,712000,7206200
1568355,712000,7206200
1812012,712000,7206200
2049645,712000,7206200
2147980,712200,7206000
2294327,712000,7206200
2788799,712200,7206000
2870726,712200,7206000
3040403,712200,7206000
3661972,712200,7206000
314414,711900,7206300
1115094,712300,7205900
3137667,711400,7206400
103866,712200,7206100
599250,712200,7206100
622460,711300,7206400
775051,711700,7206400
1098113,712100,7206200
1107862,711300,7206400
1322270,712200,7206100
1411909,711300,7206400
1427179,712100,7206200
1588571,711300,7206400
1799977,712100,7206200
1836503,711300,7206400
2440538,712100,7206200
2493279,711700,7206400
2806948,711300,7206400
2962779,712200,7206100
3173925,712100,7206200
3642731,711300,7206400
3701364,711300,7206400
3715853,712200,7206100
3721821,712200,7206100
3776903,712200,7206100
3788903,712200,7206100
608202,712300,7206000
1128941,712300,7206000
2102301,712300,7206000
2447228,712300,7206000
2483758,712300,7206000
2937870,712300,7206000
459483,711800,7206400
551402,711200,7206400
589890,711200,7206400
1089950,711200,7206400
1278920,711800,7206400
1811314,711200,7206400
2311441,711800,7206400
